,station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,date_int
957,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-01-13,42.08,62.06,,10.961006,360.0,23.040482,,,0.0,20170113
958,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-01-18,44.96,59.0,,8.052984,360.0,31.988242,,,0.0,20170118
959,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-06-14,71.96,89.06,,9.842536,360.0,23.040482,,,,20170614
960,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-07-03,71.96,89.96,,6.263432,360.0,16.105968,,,0.0,20170703
961,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-08-15,73.94,84.02,,3.131716,360.0,10.06623,,,0.16929143,20170815
962,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-08-19,71.96,87.08,,5.816044,360.0,21.922012,,,0.0,20170819
4098,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-01-02,35.96,42.08,,4.921268,360.0,12.974252,,,0.57086645,20170102
4099,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-01-03,37.94,42.08,,5.144962,360.0,12.974252,,,0.53937037,20170103
4100,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-01-16,27.14,39.92,,3.579104,360.0,8.94776,,,0.0,20170116
4101,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-01-21,41.0,46.94,,2.013246,360.0,10.06623,,,0.0,20170121
4102,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-03-25,55.04,75.92,,7.605596,360.0,23.040482,,,0.0,20170325
4103,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-08-07,66.02,73.04,,5.59235,360.0,14.092722,,,0.29133874,20170807
4104,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-08-31,60.98,84.02,,6.487126,360.0,21.027236,,,0.0,20170831
4120,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-01-06,24.26,33.08,30.38,7.605596,360.0,23.935258,0.1181103,0.0,0.01181103,20170106
4121,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-01-15,33.08,42.98,36.14,3.35541,360.0,16.105968,0.0,0.0,0.0,20170115
4122,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-03-29,48.02,64.04,58.64,8.94776,360.0,25.053728,0.0,0.0,0.0,20170329
4123,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-04-02,39.02,64.94,51.62,6.71082,360.0,21.027236,0.0,0.0,0.0,20170402
4124,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-07-30,60.08,82.94,71.6,5.59235,360.0,21.027236,0.0,0.0,0.0,20170730
4125,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-08-31,60.98,82.94,71.24,6.039738,360.0,19.908766,0.0,0.0,0.01181103,20170831
4126,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-09-10,51.98,73.94,,6.487126,360.0,21.922012,0.0,0.0,0.0,20170910
